Statistics	Correct_Neighbors
Lengthd	10
Lengthd^2	10
Markov *EMD^2	10
Markov *Lengthd^2	10
Lengthd *Lengthd^2	10
Euclidean *Lengthd^2	9
EMD	8
AFd	8
EMD^2	8
AFd^2	8
Manhattan *Lengthd^2	8
Chi-Squared *EMD^2	8
Chi-Squared *Lengthd^2	8
Squared-Chord *EMD^2	8
Squared-Chord *Lengthd^2	8
EMD *Lengthd	8
EMD *AFd	8
EMD *EMD^2	8
EMD *Lengthd^2	8
EMD *AFd^2	8
Lengthd *AFd	8
Lengthd *EMD^2	8
Lengthd *AFd^2	8
AFd *EMD^2	8
AFd *Lengthd^2	8
AFd *AFd^2	8
Kulczynski1 *Lengthd^2	8
Similarity-ratio *EMD^2	8
Similarity-ratio *Lengthd^2	8
EMD^2 *Lengthd^2	8
EMD^2 *AFd^2	8
Lengthd^2 *AFd^2	8
Hellinger	7
Manhattan	7
Euclidean	7
Chi-Squared	7
Normalized-Vectors	7
Harmonic-Mean	7
Jefferey-Div	7
K-Div	7
Pearson-Coeff	7
Squared-Chord	7
KL-Cond	7
Intersection	7
RRE-k-r	7
D2z	7
SimMM	7
EuclideanZ	7
Spearman	7
Jaccard	7
D2s	7
Mismatch	7
Canberra	7
Kulczynski1	7
Kulczynski2	7
Similarity-ratio	7
Jensen-Shannon	7
D2-star	7
N2r	7
N2rc	7
N2rrc	7
Hellinger^2	7
Manhattan^2	7
Euclidean^2	7
Chi-Squared^2	7
Normalized-Vectors^2	7
Harmonic-Mean^2	7
Jefferey-Div^2	7
K-Div^2	7
Pearson-Coeff^2	7
Squared-Chord^2	7
KL-Cond^2	7
Intersection^2	7
RRE-k-r^2	7
D2z^2	7
SimMM^2	7
EuclideanZ^2	7
Spearman^2	7
Jaccard^2	7
D2s^2	7
Mismatch^2	7
Canberra^2	7
Kulczynski1^2	7
Kulczynski2^2	7
Similarity-ratio^2	7
Jensen-Shannon^2	7
D2-star^2	7
N2r^2	7
N2rc^2	7
N2rrc^2	7
Hellinger *Manhattan	7
Hellinger *Euclidean	7
Hellinger *Chi-Squared	7
Hellinger *Normalized-Vectors	7
Hellinger *Harmonic-Mean	7
Hellinger *Jefferey-Div	7
Hellinger *K-Div	7
Hellinger *Pearson-Coeff	7
Hellinger *Squared-Chord	7
Hellinger *KL-Cond	7
Hellinger *Markov	7
Hellinger *Intersection	7
Hellinger *RRE-k-r	7
Hellinger *D2z	7
Hellinger *SimMM	7
Hellinger *EuclideanZ	7
Hellinger *EMD	7
Hellinger *Spearman	7
Hellinger *Jaccard	7
Hellinger *Lengthd	7
Hellinger *D2s	7
Hellinger *AFd	7
Hellinger *Mismatch	7
Hellinger *Canberra	7
Hellinger *Kulczynski1	7
Hellinger *Kulczynski2	7
Hellinger *Similarity-ratio	7
Hellinger *Jensen-Shannon	7
Hellinger *D2-star	7
Hellinger *N2r	7
Hellinger *N2rc	7
Hellinger *N2rrc	7
Hellinger *Hellinger^2	7
Hellinger *Manhattan^2	7
Hellinger *Euclidean^2	7
Hellinger *Chi-Squared^2	7
Hellinger *Normalized-Vectors^2	7
Hellinger *Harmonic-Mean^2	7
Hellinger *Jefferey-Div^2	7
Hellinger *K-Div^2	7
Hellinger *Pearson-Coeff^2	7
Hellinger *Squared-Chord^2	7
Hellinger *KL-Cond^2	7
Hellinger *Markov^2	7
Hellinger *Intersection^2	7
Hellinger *RRE-k-r^2	7
Hellinger *D2z^2	7
Hellinger *SimMM^2	7
Hellinger *EuclideanZ^2	7
Hellinger *EMD^2	7
Hellinger *Spearman^2	7
Hellinger *Jaccard^2	7
Hellinger *Lengthd^2	7
Hellinger *D2s^2	7
Hellinger *AFd^2	7
Hellinger *Mismatch^2	7
Hellinger *Canberra^2	7
Hellinger *Kulczynski1^2	7
Hellinger *Kulczynski2^2	7
Hellinger *Similarity-ratio^2	7
Hellinger *Jensen-Shannon^2	7
Hellinger *D2-star^2	7
Hellinger *N2r^2	7
Hellinger *N2rc^2	7
Hellinger *N2rrc^2	7
Manhattan *Euclidean	7
Manhattan *Chi-Squared	7
Manhattan *Normalized-Vectors	7
Manhattan *Harmonic-Mean	7
Manhattan *Jefferey-Div	7
Manhattan *K-Div	7
Manhattan *Pearson-Coeff	7
Manhattan *Squared-Chord	7
Manhattan *KL-Cond	7
Manhattan *Markov	7
Manhattan *Intersection	7
Manhattan *RRE-k-r	7
Manhattan *D2z	7
Manhattan *SimMM	7
Manhattan *EuclideanZ	7
Manhattan *EMD	7
Manhattan *Spearman	7
Manhattan *Jaccard	7
Manhattan *Lengthd	7
Manhattan *D2s	7
Manhattan *AFd	7
Manhattan *Mismatch	7
Manhattan *Canberra	7
Manhattan *Kulczynski1	7
Manhattan *Kulczynski2	7
Manhattan *Similarity-ratio	7
Manhattan *Jensen-Shannon	7
Manhattan *D2-star	7
Manhattan *N2r	7
Manhattan *N2rc	7
Manhattan *N2rrc	7
Manhattan *Hellinger^2	7
Manhattan *Manhattan^2	7
Manhattan *Euclidean^2	7
Manhattan *Chi-Squared^2	7
Manhattan *Normalized-Vectors^2	7
Manhattan *Harmonic-Mean^2	7
Manhattan *Jefferey-Div^2	7
Manhattan *K-Div^2	7
Manhattan *Pearson-Coeff^2	7
Manhattan *Squared-Chord^2	7
Manhattan *KL-Cond^2	7
Manhattan *Intersection^2	7
Manhattan *RRE-k-r^2	7
Manhattan *D2z^2	7
Manhattan *SimMM^2	7
Manhattan *EuclideanZ^2	7
Manhattan *EMD^2	7
Manhattan *Spearman^2	7
Manhattan *Jaccard^2	7
Manhattan *D2s^2	7
Manhattan *AFd^2	7
Manhattan *Mismatch^2	7
Manhattan *Canberra^2	7
Manhattan *Kulczynski1^2	7
Manhattan *Kulczynski2^2	7
Manhattan *Similarity-ratio^2	7
Manhattan *Jensen-Shannon^2	7
Manhattan *D2-star^2	7
Manhattan *N2r^2	7
Manhattan *N2rc^2	7
Manhattan *N2rrc^2	7
Euclidean *Chi-Squared	7
Euclidean *Normalized-Vectors	7
Euclidean *Harmonic-Mean	7
Euclidean *Jefferey-Div	7
Euclidean *K-Div	7
Euclidean *Pearson-Coeff	7
Euclidean *Squared-Chord	7
Euclidean *KL-Cond	7
Euclidean *Markov	7
Euclidean *Intersection	7
Euclidean *RRE-k-r	7
Euclidean *D2z	7
Euclidean *SimMM	7
Euclidean *EuclideanZ	7
Euclidean *EMD	7
Euclidean *Spearman	7
Euclidean *Jaccard	7
Euclidean *Lengthd	7
Euclidean *D2s	7
Euclidean *AFd	7
Euclidean *Mismatch	7
Euclidean *Canberra	7
Euclidean *Kulczynski1	7
Euclidean *Kulczynski2	7
Euclidean *Similarity-ratio	7
Euclidean *Jensen-Shannon	7
Euclidean *D2-star	7
Euclidean *N2r	7
Euclidean *N2rc	7
Euclidean *N2rrc	7
Euclidean *Hellinger^2	7
Euclidean *Manhattan^2	7
Euclidean *Euclidean^2	7
Euclidean *Chi-Squared^2	7
Euclidean *Normalized-Vectors^2	7
Euclidean *Harmonic-Mean^2	7
Euclidean *Jefferey-Div^2	7
Euclidean *K-Div^2	7
Euclidean *Pearson-Coeff^2	7
Euclidean *Squared-Chord^2	7
Euclidean *KL-Cond^2	7
Euclidean *Intersection^2	7
Euclidean *RRE-k-r^2	7
Euclidean *D2z^2	7
Euclidean *SimMM^2	7
Euclidean *EuclideanZ^2	7
Euclidean *EMD^2	7
Euclidean *Spearman^2	7
Euclidean *Jaccard^2	7
Euclidean *D2s^2	7
Euclidean *AFd^2	7
Euclidean *Mismatch^2	7
Euclidean *Canberra^2	7
Euclidean *Kulczynski1^2	7
Euclidean *Kulczynski2^2	7
Euclidean *Similarity-ratio^2	7
Euclidean *Jensen-Shannon^2	7
Euclidean *D2-star^2	7
Euclidean *N2r^2	7
Euclidean *N2rc^2	7
Euclidean *N2rrc^2	7
Chi-Squared *Normalized-Vectors	7
Chi-Squared *Harmonic-Mean	7
Chi-Squared *Jefferey-Div	7
Chi-Squared *K-Div	7
Chi-Squared *Pearson-Coeff	7
Chi-Squared *Squared-Chord	7
Chi-Squared *KL-Cond	7
Chi-Squared *Markov	7
Chi-Squared *Intersection	7
Chi-Squared *RRE-k-r	7
Chi-Squared *D2z	7
Chi-Squared *SimMM	7
Chi-Squared *EuclideanZ	7
Chi-Squared *EMD	7
Chi-Squared *Spearman	7
Chi-Squared *Jaccard	7
Chi-Squared *Lengthd	7
Chi-Squared *D2s	7
Chi-Squared *AFd	7
Chi-Squared *Mismatch	7
Chi-Squared *Canberra	7
Chi-Squared *Kulczynski1	7
Chi-Squared *Kulczynski2	7
Chi-Squared *Similarity-ratio	7
Chi-Squared *Jensen-Shannon	7
Chi-Squared *D2-star	7
Chi-Squared *N2r	7
Chi-Squared *N2rc	7
Chi-Squared *N2rrc	7
Chi-Squared *Hellinger^2	7
Chi-Squared *Manhattan^2	7
Chi-Squared *Euclidean^2	7
Chi-Squared *Chi-Squared^2	7
Chi-Squared *Normalized-Vectors^2	7
Chi-Squared *Harmonic-Mean^2	7
Chi-Squared *Jefferey-Div^2	7
Chi-Squared *K-Div^2	7
Chi-Squared *Pearson-Coeff^2	7
Chi-Squared *Squared-Chord^2	7
Chi-Squared *KL-Cond^2	7
Chi-Squared *Intersection^2	7
Chi-Squared *RRE-k-r^2	7
Chi-Squared *D2z^2	7
Chi-Squared *SimMM^2	7
Chi-Squared *EuclideanZ^2	7
Chi-Squared *Spearman^2	7
Chi-Squared *Jaccard^2	7
Chi-Squared *D2s^2	7
Chi-Squared *AFd^2	7
Chi-Squared *Mismatch^2	7
Chi-Squared *Canberra^2	7
Chi-Squared *Kulczynski1^2	7
Chi-Squared *Kulczynski2^2	7
Chi-Squared *Similarity-ratio^2	7
Chi-Squared *Jensen-Shannon^2	7
Chi-Squared *D2-star^2	7
Chi-Squared *N2r^2	7
Chi-Squared *N2rc^2	7
Chi-Squared *N2rrc^2	7
Normalized-Vectors *Harmonic-Mean	7
Normalized-Vectors *Jefferey-Div	7
Normalized-Vectors *K-Div	7
Normalized-Vectors *Pearson-Coeff	7
Normalized-Vectors *Squared-Chord	7
Normalized-Vectors *KL-Cond	7
Normalized-Vectors *Markov	7
Normalized-Vectors *Intersection	7
Normalized-Vectors *RRE-k-r	7
Normalized-Vectors *D2z	7
Normalized-Vectors *SimMM	7
Normalized-Vectors *EuclideanZ	7
Normalized-Vectors *EMD	7
Normalized-Vectors *Spearman	7
Normalized-Vectors *Jaccard	7
Normalized-Vectors *Lengthd	7
Normalized-Vectors *D2s	7
Normalized-Vectors *AFd	7
Normalized-Vectors *Mismatch	7
Normalized-Vectors *Canberra	7
Normalized-Vectors *Kulczynski1	7
Normalized-Vectors *Kulczynski2	7
Normalized-Vectors *Similarity-ratio	7
Normalized-Vectors *Jensen-Shannon	7
Normalized-Vectors *D2-star	7
Normalized-Vectors *N2r	7
Normalized-Vectors *N2rc	7
Normalized-Vectors *N2rrc	7
Normalized-Vectors *Hellinger^2	7
Normalized-Vectors *Manhattan^2	7
Normalized-Vectors *Euclidean^2	7
Normalized-Vectors *Chi-Squared^2	7
Normalized-Vectors *Normalized-Vectors^2	7
Normalized-Vectors *Harmonic-Mean^2	7
Normalized-Vectors *Jefferey-Div^2	7
Normalized-Vectors *K-Div^2	7
Normalized-Vectors *Pearson-Coeff^2	7
Normalized-Vectors *Squared-Chord^2	7
Normalized-Vectors *KL-Cond^2	7
Normalized-Vectors *Markov^2	7
Normalized-Vectors *Intersection^2	7
Normalized-Vectors *RRE-k-r^2	7
Normalized-Vectors *D2z^2	7
Normalized-Vectors *SimMM^2	7
Normalized-Vectors *EuclideanZ^2	7
Normalized-Vectors *EMD^2	7
Normalized-Vectors *Spearman^2	7
Normalized-Vectors *Jaccard^2	7
Normalized-Vectors *Lengthd^2	7
Normalized-Vectors *D2s^2	7
Normalized-Vectors *AFd^2	7
Normalized-Vectors *Mismatch^2	7
Normalized-Vectors *Canberra^2	7
Normalized-Vectors *Kulczynski1^2	7
Normalized-Vectors *Kulczynski2^2	7
Normalized-Vectors *Similarity-ratio^2	7
Normalized-Vectors *Jensen-Shannon^2	7
Normalized-Vectors *D2-star^2	7
Normalized-Vectors *N2r^2	7
Normalized-Vectors *N2rc^2	7
Normalized-Vectors *N2rrc^2	7
Harmonic-Mean *Jefferey-Div	7
Harmonic-Mean *K-Div	7
Harmonic-Mean *Pearson-Coeff	7
Harmonic-Mean *Squared-Chord	7
Harmonic-Mean *KL-Cond	7
Harmonic-Mean *Markov	7
Harmonic-Mean *Intersection	7
Harmonic-Mean *RRE-k-r	7
Harmonic-Mean *D2z	7
Harmonic-Mean *SimMM	7
Harmonic-Mean *EuclideanZ	7
Harmonic-Mean *EMD	7
Harmonic-Mean *Spearman	7
Harmonic-Mean *Jaccard	7
