Statistics	Correct_Neighbors
Manhattan	5
Euclidean	5
Intersection	5
Jaccard	5
Lengthd	5
Mismatch	5
Kulczynski2	5
Manhattan^2	5
Euclidean^2	5
Intersection^2	5
Jaccard^2	5
Lengthd^2	5
Mismatch^2	5
Kulczynski2^2	5
Manhattan *Euclidean	5
Manhattan *Intersection	5
Manhattan *EMD	5
Manhattan *Jaccard	5
Manhattan *Lengthd	5
Manhattan *Mismatch	5
Manhattan *Kulczynski2	5
Manhattan *Manhattan^2	5
Manhattan *Euclidean^2	5
Manhattan *Intersection^2	5
Manhattan *EMD^2	5
Manhattan *Jaccard^2	5
Manhattan *Lengthd^2	5
Manhattan *Mismatch^2	5
Manhattan *Kulczynski2^2	5
Euclidean *Intersection	5
Euclidean *EMD	5
Euclidean *Jaccard	5
Euclidean *Lengthd	5
Euclidean *Mismatch	5
Euclidean *Kulczynski2	5
Euclidean *Manhattan^2	5
Euclidean *Euclidean^2	5
Euclidean *Intersection^2	5
Euclidean *EMD^2	5
Euclidean *Jaccard^2	5
Euclidean *Lengthd^2	5
Euclidean *Mismatch^2	5
Euclidean *Kulczynski2^2	5
Intersection *EMD	5
Intersection *Jaccard	5
Intersection *Lengthd	5
Intersection *Mismatch	5
Intersection *Kulczynski2	5
Intersection *Manhattan^2	5
Intersection *Euclidean^2	5
Intersection *Intersection^2	5
Intersection *EMD^2	5
Intersection *Jaccard^2	5
Intersection *Lengthd^2	5
Intersection *Mismatch^2	5
Intersection *Kulczynski2^2	5
EMD *Jaccard	5
EMD *Mismatch	5
EMD *Kulczynski2	5
EMD *Manhattan^2	5
EMD *Euclidean^2	5
EMD *Intersection^2	5
EMD *Jaccard^2	5
EMD *Mismatch^2	5
EMD *Kulczynski2^2	5
Jaccard *Lengthd	5
Jaccard *Mismatch	5
Jaccard *Kulczynski2	5
Jaccard *Manhattan^2	5
Jaccard *Euclidean^2	5
Jaccard *Intersection^2	5
Jaccard *EMD^2	5
Jaccard *Jaccard^2	5
Jaccard *Lengthd^2	5
Jaccard *Mismatch^2	5
Jaccard *Kulczynski2^2	5
Lengthd *Mismatch	5
Lengthd *Kulczynski2	5
Lengthd *Manhattan^2	5
Lengthd *Euclidean^2	5
Lengthd *Intersection^2	5
Lengthd *Jaccard^2	5
Lengthd *Lengthd^2	5
Lengthd *Mismatch^2	5
Lengthd *Kulczynski2^2	5
Mismatch *Kulczynski2	5
Mismatch *Manhattan^2	5
Mismatch *Euclidean^2	5
Mismatch *Intersection^2	5
Mismatch *EMD^2	5
Mismatch *Jaccard^2	5
Mismatch *Lengthd^2	5
Mismatch *Mismatch^2	5
Mismatch *Kulczynski2^2	5
Kulczynski2 *Manhattan^2	5
Kulczynski2 *Euclidean^2	5
Kulczynski2 *Intersection^2	5
Kulczynski2 *EMD^2	5
Kulczynski2 *Jaccard^2	5
Kulczynski2 *Lengthd^2	5
Kulczynski2 *Mismatch^2	5
Kulczynski2 *Kulczynski2^2	5
Manhattan^2 *Euclidean^2	5
Manhattan^2 *Intersection^2	5
Manhattan^2 *EMD^2	5
Manhattan^2 *Jaccard^2	5
Manhattan^2 *Lengthd^2	5
Manhattan^2 *Mismatch^2	5
Manhattan^2 *Kulczynski2^2	5
Euclidean^2 *Intersection^2	5
Euclidean^2 *EMD^2	5
Euclidean^2 *Jaccard^2	5
Euclidean^2 *Lengthd^2	5
Euclidean^2 *Mismatch^2	5
Euclidean^2 *Kulczynski2^2	5
Intersection^2 *EMD^2	5
Intersection^2 *Jaccard^2	5
Intersection^2 *Lengthd^2	5
Intersection^2 *Mismatch^2	5
Intersection^2 *Kulczynski2^2	5
EMD^2 *Jaccard^2	5
EMD^2 *Mismatch^2	5
EMD^2 *Kulczynski2^2	5
Jaccard^2 *Lengthd^2	5
Jaccard^2 *Mismatch^2	5
Jaccard^2 *Kulczynski2^2	5
Lengthd^2 *Mismatch^2	5
Lengthd^2 *Kulczynski2^2	5
Mismatch^2 *Kulczynski2^2	5
N2r	4
N2rrc	4
N2r^2	4
N2rrc^2	4
Manhattan *N2r	4
Manhattan *N2rrc	4
Manhattan *N2r^2	4
Manhattan *N2rrc^2	4
Euclidean *N2r	4
Euclidean *N2rrc	4
Euclidean *N2r^2	4
Euclidean *N2rrc^2	4
Normalized-Vectors *N2r	4
Normalized-Vectors *N2rrc	4
Normalized-Vectors *N2r^2	4
Normalized-Vectors *N2rrc^2	4
Harmonic-Mean *N2r^2	4
Harmonic-Mean *N2rrc^2	4
Jefferey-Div *N2r^2	4
Jefferey-Div *N2rrc^2	4
K-Div *N2r^2	4
K-Div *N2rrc^2	4
Pearson-Coeff *N2r	4
Pearson-Coeff *N2rrc	4
Pearson-Coeff *N2r^2	4
Pearson-Coeff *N2rrc^2	4
KL-Cond *N2r^2	4
KL-Cond *N2rrc^2	4
Intersection *N2r	4
Intersection *N2rrc	4
Intersection *N2r^2	4
Intersection *N2rrc^2	4
D2z *N2r	4
D2z *N2rrc	4
D2z *N2r^2	4
D2z *N2rrc^2	4
SimMM *N2r^2	4
EuclideanZ *N2r	4
EuclideanZ *N2rrc	4
EuclideanZ *N2r^2	4
EuclideanZ *N2rrc^2	4
EMD *N2r	4
EMD *N2rrc	4
EMD *N2r^2	4
EMD *N2rrc^2	4
Jaccard *N2r	4
Jaccard *N2rrc	4
Jaccard *N2r^2	4
Jaccard *N2rrc^2	4
Lengthd *N2r	4
Lengthd *N2rrc	4
Lengthd *N2r^2	4
Lengthd *N2rrc^2	4
AFd *N2r	4
AFd *N2rrc	4
AFd *N2r^2	4
AFd *N2rrc^2	4
Mismatch *N2r	4
Mismatch *N2rrc	4
Mismatch *N2r^2	4
Mismatch *N2rrc^2	4
Canberra *N2r^2	4
Kulczynski2 *N2r	4
Kulczynski2 *N2rrc	4
Kulczynski2 *N2r^2	4
Kulczynski2 *N2rrc^2	4
Similarity-ratio *N2r	4
Similarity-ratio *N2rrc	4
Similarity-ratio *N2r^2	4
Similarity-ratio *N2rrc^2	4
Jensen-Shannon *N2r^2	4
Jensen-Shannon *N2rrc^2	4
N2r *N2rc	4
N2r *N2rrc	4
N2r *Manhattan^2	4
N2r *Euclidean^2	4
N2r *Normalized-Vectors^2	4
N2r *Pearson-Coeff^2	4
N2r *Intersection^2	4
N2r *D2z^2	4
N2r *EuclideanZ^2	4
N2r *EMD^2	4
N2r *Jaccard^2	4
N2r *Lengthd^2	4
N2r *AFd^2	4
N2r *Mismatch^2	4
N2r *Kulczynski2^2	4
N2r *Similarity-ratio^2	4
N2r *N2r^2	4
N2r *N2rc^2	4
N2r *N2rrc^2	4
N2rc *N2rrc	4
N2rc *N2r^2	4
N2rc *N2rrc^2	4
N2rrc *Manhattan^2	4
N2rrc *Euclidean^2	4
N2rrc *Normalized-Vectors^2	4
N2rrc *Pearson-Coeff^2	4
N2rrc *Intersection^2	4
N2rrc *D2z^2	4
N2rrc *EuclideanZ^2	4
N2rrc *EMD^2	4
N2rrc *Jaccard^2	4
N2rrc *Lengthd^2	4
N2rrc *AFd^2	4
N2rrc *Mismatch^2	4
N2rrc *Kulczynski2^2	4
N2rrc *Similarity-ratio^2	4
N2rrc *N2r^2	4
N2rrc *N2rc^2	4
N2rrc *N2rrc^2	4
Manhattan^2 *N2r^2	4
Manhattan^2 *N2rrc^2	4
Euclidean^2 *N2r^2	4
Euclidean^2 *N2rrc^2	4
Normalized-Vectors^2 *N2r^2	4
Normalized-Vectors^2 *N2rrc^2	4
Pearson-Coeff^2 *N2r^2	4
Pearson-Coeff^2 *N2rrc^2	4
Intersection^2 *N2r^2	4
Intersection^2 *N2rrc^2	4
D2z^2 *N2r^2	4
D2z^2 *N2rrc^2	4
EuclideanZ^2 *N2r^2	4
EuclideanZ^2 *N2rrc^2	4
EMD^2 *N2r^2	4
EMD^2 *N2rrc^2	4
Jaccard^2 *N2r^2	4
Jaccard^2 *N2rrc^2	4
Lengthd^2 *N2r^2	4
Lengthd^2 *N2rrc^2	4
AFd^2 *N2r^2	4
AFd^2 *N2rrc^2	4
Mismatch^2 *N2r^2	4
Mismatch^2 *N2rrc^2	4
Kulczynski2^2 *N2r^2	4
Kulczynski2^2 *N2rrc^2	4
Similarity-ratio^2 *N2r^2	4
Similarity-ratio^2 *N2rrc^2	4
N2r^2 *N2rc^2	4
N2r^2 *N2rrc^2	4
N2rc^2 *N2rrc^2	4
Hellinger	3
Chi-Squared	3
Normalized-Vectors	3
Harmonic-Mean	3
Jefferey-Div	3
K-Div	3
Pearson-Coeff	3
Squared-Chord	3
KL-Cond	3
RRE-k-r	3
D2z	3
SimMM	3
EuclideanZ	3
Spearman	3
D2s	3
AFd	3
Canberra	3
Kulczynski1	3
Similarity-ratio	3
Jensen-Shannon	3
D2-star	3
N2rc	3
Hellinger^2	3
Chi-Squared^2	3
Normalized-Vectors^2	3
Harmonic-Mean^2	3
Jefferey-Div^2	3
K-Div^2	3
Pearson-Coeff^2	3
Squared-Chord^2	3
KL-Cond^2	3
RRE-k-r^2	3
D2z^2	3
SimMM^2	3
EuclideanZ^2	3
Spearman^2	3
D2s^2	3
AFd^2	3
Canberra^2	3
Kulczynski1^2	3
Similarity-ratio^2	3
Jensen-Shannon^2	3
D2-star^2	3
N2rc^2	3
Hellinger *Manhattan	3
Hellinger *Euclidean	3
Hellinger *Chi-Squared	3
Hellinger *Normalized-Vectors	3
Hellinger *Harmonic-Mean	3
Hellinger *Jefferey-Div	3
Hellinger *K-Div	3
Hellinger *Pearson-Coeff	3
Hellinger *Squared-Chord	3
Hellinger *KL-Cond	3
Hellinger *Markov	3
Hellinger *Intersection	3
Hellinger *RRE-k-r	3
Hellinger *D2z	3
Hellinger *SimMM	3
Hellinger *EuclideanZ	3
Hellinger *EMD	3
Hellinger *Spearman	3
Hellinger *Jaccard	3
Hellinger *Lengthd	3
Hellinger *D2s	3
Hellinger *AFd	3
Hellinger *Mismatch	3
Hellinger *Canberra	3
Hellinger *Kulczynski1	3
Hellinger *Kulczynski2	3
Hellinger *Similarity-ratio	3
Hellinger *Jensen-Shannon	3
Hellinger *D2-star	3
Hellinger *N2r	3
Hellinger *N2rc	3
Hellinger *N2rrc	3
Hellinger *Hellinger^2	3
Hellinger *Manhattan^2	3
Hellinger *Euclidean^2	3
Hellinger *Chi-Squared^2	3
Hellinger *Normalized-Vectors^2	3
Hellinger *Harmonic-Mean^2	3
Hellinger *Jefferey-Div^2	3
Hellinger *K-Div^2	3
Hellinger *Pearson-Coeff^2	3
Hellinger *Squared-Chord^2	3
Hellinger *KL-Cond^2	3
Hellinger *Markov^2	3
Hellinger *Intersection^2	3
Hellinger *RRE-k-r^2	3
Hellinger *D2z^2	3
Hellinger *SimMM^2	3
Hellinger *EuclideanZ^2	3
Hellinger *EMD^2	3
Hellinger *Spearman^2	3
Hellinger *Jaccard^2	3
Hellinger *Lengthd^2	3
Hellinger *D2s^2	3
Hellinger *AFd^2	3
Hellinger *Mismatch^2	3
Hellinger *Canberra^2	3
Hellinger *Kulczynski1^2	3
Hellinger *Kulczynski2^2	3
Hellinger *Similarity-ratio^2	3
Hellinger *Jensen-Shannon^2	3
Hellinger *D2-star^2	3
Hellinger *N2r^2	3
Hellinger *N2rc^2	3
Hellinger *N2rrc^2	3
Manhattan *Chi-Squared	3
Manhattan *Normalized-Vectors	3
Manhattan *Harmonic-Mean	3
Manhattan *Jefferey-Div	3
Manhattan *K-Div	3
Manhattan *Pearson-Coeff	3
Manhattan *Squared-Chord	3
Manhattan *KL-Cond	3
Manhattan *Markov	3
Manhattan *RRE-k-r	3
Manhattan *D2z	3
Manhattan *SimMM	3
Manhattan *EuclideanZ	3
Manhattan *Spearman	3
Manhattan *D2s	3
Manhattan *AFd	3
Manhattan *Canberra	3
Manhattan *Kulczynski1	3
Manhattan *Similarity-ratio	3
Manhattan *Jensen-Shannon	3
Manhattan *D2-star	3
Manhattan *N2rc	3
Manhattan *Hellinger^2	3
Manhattan *Chi-Squared^2	3
Manhattan *Normalized-Vectors^2	3
Manhattan *Harmonic-Mean^2	3
Manhattan *Jefferey-Div^2	3
Manhattan *K-Div^2	3
Manhattan *Pearson-Coeff^2	3
Manhattan *Squared-Chord^2	3
Manhattan *KL-Cond^2	3
Manhattan *RRE-k-r^2	3
Manhattan *D2z^2	3
Manhattan *SimMM^2	3
Manhattan *EuclideanZ^2	3
Manhattan *Spearman^2	3
Manhattan *D2s^2	3
Manhattan *AFd^2	3
Manhattan *Canberra^2	3
Manhattan *Kulczynski1^2	3
Manhattan *Similarity-ratio^2	3
Manhattan *Jensen-Shannon^2	3
Manhattan *D2-star^2	3
Manhattan *N2rc^2	3
Euclidean *Chi-Squared	3
Euclidean *Normalized-Vectors	3
Euclidean *Harmonic-Mean	3
Euclidean *Jefferey-Div	3
Euclidean *K-Div	3
Euclidean *Pearson-Coeff	3
Euclidean *Squared-Chord	3
Euclidean *KL-Cond	3
Euclidean *Markov	3
Euclidean *RRE-k-r	3
Euclidean *D2z	3
Euclidean *SimMM	3
Euclidean *EuclideanZ	3
Euclidean *Spearman	3
Euclidean *D2s	3
Euclidean *AFd	3
Euclidean *Canberra	3
Euclidean *Kulczynski1	3
Euclidean *Similarity-ratio	3
Euclidean *Jensen-Shannon	3
Euclidean *D2-star	3
Euclidean *N2rc	3
Euclidean *Hellinger^2	3
Euclidean *Chi-Squared^2	3
Euclidean *Normalized-Vectors^2	3
Euclidean *Harmonic-Mean^2	3
Euclidean *Jefferey-Div^2	3
Euclidean *K-Div^2	3
Euclidean *Pearson-Coeff^2	3
Euclidean *Squared-Chord^2	3
Euclidean *KL-Cond^2	3
Euclidean *Markov^2	3
Euclidean *RRE-k-r^2	3
Euclidean *D2z^2	3
Euclidean *SimMM^2	3
Euclidean *EuclideanZ^2	3
Euclidean *Spearman^2	3
Euclidean *D2s^2	3
Euclidean *AFd^2	3
Euclidean *Canberra^2	3
Euclidean *Kulczynski1^2	3
Euclidean *Similarity-ratio^2	3
