Statistics	Correct_Neighbors
EMD	8
EMD^2	8
Euclidean *EMD	8
Euclidean *EMD^2	8
EMD *Lengthd	8
EMD *AFd	8
EMD *EMD^2	8
EMD *Lengthd^2	8
EMD *AFd^2	8
Lengthd *EMD^2	8
AFd *EMD^2	8
Euclidean^2 *EMD^2	8
EMD^2 *Lengthd^2	8
EMD^2 *AFd^2	8
Lengthd	7
Lengthd^2	7
Manhattan *EMD	7
Manhattan *Lengthd	7
Manhattan *EMD^2	7
Manhattan *Lengthd^2	7
Euclidean *Lengthd	7
Euclidean *Lengthd^2	7
Chi-Squared *EMD	7
Chi-Squared *Lengthd	7
Chi-Squared *EMD^2	7
Chi-Squared *Lengthd^2	7
Jefferey-Div *EMD^2	7
Jefferey-Div *Lengthd^2	7
K-Div *EMD^2	7
K-Div *Lengthd^2	7
Squared-Chord *EMD	7
Squared-Chord *Lengthd	7
Squared-Chord *EMD^2	7
Squared-Chord *Lengthd^2	7
Markov *EMD^2	7
Markov *Lengthd^2	7
EMD *Kulczynski1	7
EMD *Euclidean^2	7
Lengthd *AFd	7
Lengthd *Kulczynski1	7
Lengthd *Euclidean^2	7
Lengthd *Lengthd^2	7
Lengthd *AFd^2	7
AFd *Lengthd^2	7
Kulczynski1 *EMD^2	7
Kulczynski1 *Lengthd^2	7
Manhattan^2 *EMD^2	7
Manhattan^2 *Lengthd^2	7
Euclidean^2 *Lengthd^2	7
Chi-Squared^2 *EMD^2	7
Chi-Squared^2 *Lengthd^2	7
Squared-Chord^2 *EMD^2	7
Squared-Chord^2 *Lengthd^2	7
EMD^2 *Kulczynski1^2	7
Lengthd^2 *AFd^2	7
Lengthd^2 *Kulczynski1^2	7
Manhattan	6
Euclidean	6
Chi-Squared	6
Harmonic-Mean	6
Jefferey-Div	6
K-Div	6
Squared-Chord	6
KL-Cond	6
Markov	6
RRE-k-r	6
Jaccard	6
Mismatch	6
Canberra	6
Kulczynski1	6
Jensen-Shannon	6
Manhattan^2	6
Euclidean^2	6
Chi-Squared^2	6
Harmonic-Mean^2	6
Jefferey-Div^2	6
K-Div^2	6
Squared-Chord^2	6
KL-Cond^2	6
Markov^2	6
RRE-k-r^2	6
Jaccard^2	6
Mismatch^2	6
Canberra^2	6
Kulczynski1^2	6
Jensen-Shannon^2	6
Manhattan *Euclidean	6
Manhattan *Chi-Squared	6
Manhattan *Harmonic-Mean	6
Manhattan *Jefferey-Div	6
Manhattan *K-Div	6
Manhattan *Squared-Chord	6
Manhattan *KL-Cond	6
Manhattan *Markov	6
Manhattan *RRE-k-r	6
Manhattan *Jaccard	6
Manhattan *AFd	6
Manhattan *Mismatch	6
Manhattan *Canberra	6
Manhattan *Kulczynski1	6
Manhattan *Jensen-Shannon	6
Manhattan *Manhattan^2	6
Manhattan *Euclidean^2	6
Manhattan *Chi-Squared^2	6
Manhattan *Harmonic-Mean^2	6
Manhattan *Jefferey-Div^2	6
Manhattan *K-Div^2	6
Manhattan *Squared-Chord^2	6
Manhattan *KL-Cond^2	6
Manhattan *Markov^2	6
Manhattan *RRE-k-r^2	6
Manhattan *Jaccard^2	6
Manhattan *AFd^2	6
Manhattan *Mismatch^2	6
Manhattan *Canberra^2	6
Manhattan *Kulczynski1^2	6
Manhattan *Jensen-Shannon^2	6
Euclidean *Chi-Squared	6
Euclidean *Harmonic-Mean	6
Euclidean *Jefferey-Div	6
Euclidean *K-Div	6
Euclidean *Squared-Chord	6
Euclidean *KL-Cond	6
Euclidean *Markov	6
Euclidean *RRE-k-r	6
Euclidean *Jaccard	6
Euclidean *AFd	6
Euclidean *Mismatch	6
Euclidean *Canberra	6
Euclidean *Kulczynski1	6
Euclidean *Jensen-Shannon	6
Euclidean *Manhattan^2	6
Euclidean *Euclidean^2	6
Euclidean *Chi-Squared^2	6
Euclidean *Harmonic-Mean^2	6
Euclidean *Jefferey-Div^2	6
Euclidean *K-Div^2	6
Euclidean *Squared-Chord^2	6
Euclidean *KL-Cond^2	6
Euclidean *Markov^2	6
Euclidean *RRE-k-r^2	6
Euclidean *Jaccard^2	6
Euclidean *AFd^2	6
Euclidean *Mismatch^2	6
Euclidean *Canberra^2	6
Euclidean *Kulczynski1^2	6
Euclidean *Jensen-Shannon^2	6
Chi-Squared *Harmonic-Mean	6
Chi-Squared *Jefferey-Div	6
Chi-Squared *K-Div	6
Chi-Squared *Squared-Chord	6
Chi-Squared *KL-Cond	6
Chi-Squared *Markov	6
Chi-Squared *RRE-k-r	6
Chi-Squared *Jaccard	6
Chi-Squared *AFd	6
Chi-Squared *Mismatch	6
Chi-Squared *Canberra	6
Chi-Squared *Kulczynski1	6
Chi-Squared *Jensen-Shannon	6
Chi-Squared *Manhattan^2	6
Chi-Squared *Euclidean^2	6
Chi-Squared *Chi-Squared^2	6
Chi-Squared *Harmonic-Mean^2	6
Chi-Squared *Jefferey-Div^2	6
Chi-Squared *K-Div^2	6
Chi-Squared *Squared-Chord^2	6
Chi-Squared *KL-Cond^2	6
Chi-Squared *Markov^2	6
Chi-Squared *RRE-k-r^2	6
Chi-Squared *Jaccard^2	6
Chi-Squared *AFd^2	6
Chi-Squared *Mismatch^2	6
Chi-Squared *Canberra^2	6
Chi-Squared *Kulczynski1^2	6
Chi-Squared *Jensen-Shannon^2	6
Normalized-Vectors *Jaccard^2	6
Normalized-Vectors *Mismatch^2	6
Harmonic-Mean *Jefferey-Div	6
Harmonic-Mean *K-Div	6
Harmonic-Mean *Squared-Chord	6
Harmonic-Mean *KL-Cond	6
Harmonic-Mean *Markov	6
Harmonic-Mean *RRE-k-r	6
Harmonic-Mean *EMD	6
Harmonic-Mean *Jaccard	6
Harmonic-Mean *Lengthd	6
Harmonic-Mean *AFd	6
Harmonic-Mean *Mismatch	6
Harmonic-Mean *Canberra	6
Harmonic-Mean *Kulczynski1	6
Harmonic-Mean *Jensen-Shannon	6
Harmonic-Mean *Manhattan^2	6
Harmonic-Mean *Euclidean^2	6
Harmonic-Mean *Chi-Squared^2	6
Harmonic-Mean *Harmonic-Mean^2	6
Harmonic-Mean *Jefferey-Div^2	6
Harmonic-Mean *K-Div^2	6
Harmonic-Mean *Squared-Chord^2	6
Harmonic-Mean *KL-Cond^2	6
Harmonic-Mean *Markov^2	6
Harmonic-Mean *RRE-k-r^2	6
Harmonic-Mean *EMD^2	6
Harmonic-Mean *Jaccard^2	6
Harmonic-Mean *Lengthd^2	6
Harmonic-Mean *AFd^2	6
Harmonic-Mean *Mismatch^2	6
Harmonic-Mean *Canberra^2	6
Harmonic-Mean *Kulczynski1^2	6
Harmonic-Mean *Jensen-Shannon^2	6
Jefferey-Div *K-Div	6
Jefferey-Div *Squared-Chord	6
Jefferey-Div *KL-Cond	6
Jefferey-Div *Markov	6
Jefferey-Div *RRE-k-r	6
Jefferey-Div *EMD	6
Jefferey-Div *Jaccard	6
Jefferey-Div *Lengthd	6
Jefferey-Div *AFd	6
Jefferey-Div *Mismatch	6
Jefferey-Div *Canberra	6
Jefferey-Div *Kulczynski1	6
Jefferey-Div *Jensen-Shannon	6
Jefferey-Div *Manhattan^2	6
Jefferey-Div *Euclidean^2	6
Jefferey-Div *Chi-Squared^2	6
Jefferey-Div *Harmonic-Mean^2	6
Jefferey-Div *Jefferey-Div^2	6
Jefferey-Div *K-Div^2	6
Jefferey-Div *Squared-Chord^2	6
Jefferey-Div *KL-Cond^2	6
Jefferey-Div *Markov^2	6
Jefferey-Div *RRE-k-r^2	6
Jefferey-Div *Jaccard^2	6
Jefferey-Div *AFd^2	6
Jefferey-Div *Mismatch^2	6
Jefferey-Div *Canberra^2	6
Jefferey-Div *Kulczynski1^2	6
