Statistics	R_squared_coefficient
EMD *Similarity-ratio	0.984411187751176
Normalized-Vectors *Lengthd	0.980284365024882
K-Div *Lengthd	0.97714294780012
SimMM *Lengthd	0.976450448023083
Jefferey-Div *Lengthd	0.976226999965762
EMD *N2rrc	0.975719878202658
Lengthd *N2r	0.975707384628763
SimMM *EMD	0.975609097197229
EMD *N2r	0.975568643399115
Normalized-Vectors *EMD	0.975401176400285
Lengthd *Jensen-Shannon	0.97481307563338
Pearson-Coeff *Lengthd	0.974481083206906
D2z *Lengthd	0.974481083206897
Spearman *Lengthd	0.974281315245051
Harmonic-Mean *Lengthd	0.973399249278152
Lengthd *Similarity-ratio	0.972878222405328
EMD *N2rc	0.972369932407903
D2z *EMD	0.970855415149027
Pearson-Coeff *EMD	0.970855415149027
Lengthd *N2rc	0.969946098779806
Normalized-Vectors *Lengthd^2	0.96988482956637
Squared-Chord *Lengthd	0.969758104045186
Similarity-ratio	0.96974555427138
Similarity-ratio *EMD^2	0.969532224018125
K-Div *Lengthd^2	0.969214717276202
AFd *Similarity-ratio	0.969203143598004
Similarity-ratio *AFd^2	0.969110118817156
Jefferey-Div *Lengthd^2	0.968522875498756
Lengthd *D2-star	0.968472713275656
KL-Cond *Lengthd	0.967661784442646
RRE-k-r *Lengthd	0.967631616961626
Lengthd *N2rrc	0.967460291864911
Chi-Squared *Lengthd	0.967212335431623
Jensen-Shannon *Lengthd^2	0.96715351751949
EMD *D2-star	0.967112040217801
Lengthd *D2s	0.966663974529026
N2rrc *EMD^2	0.966578345465314
SimMM *Lengthd^2	0.966067737886954
Harmonic-Mean *Lengthd^2	0.965776373872572
N2r *Lengthd^2	0.965757216865447
Spearman *Lengthd^2	0.965665680420059
D2z *Lengthd^2	0.965216320363754
Pearson-Coeff *Lengthd^2	0.965216320363749
N2r *EMD^2	0.964488983353935
K-Div *EMD	0.963440819150104
EMD *Spearman	0.963425787622907
Jefferey-Div *EMD	0.962589491529521
Similarity-ratio *Lengthd^2	0.962576745788903
SimMM	0.962163211753357
Squared-Chord *Lengthd^2	0.962147514353915
Intersection *Lengthd	0.962075683084621
Lengthd *Kulczynski1	0.96184673831253
SimMM *AFd	0.961843042071994
SimMM *AFd^2	0.961762829914875
KL-Cond *Lengthd^2	0.96082071553823
RRE-k-r *Lengthd^2	0.960646637534216
EMD *Jensen-Shannon	0.960636511004292
EMD *D2s	0.960259243457469
Normalized-Vectors *EMD^2	0.960220770595372
N2rc *EMD^2	0.96016335204744
Chi-Squared *Lengthd^2	0.95956352092256
D2-star *Lengthd^2	0.959494470639432
N2rc *Lengthd^2	0.958858857127333
Harmonic-Mean *EMD	0.958851714303487
SimMM *EMD^2	0.957795514635983
D2z *EMD^2	0.957527821047964
Pearson-Coeff *EMD^2	0.957527821047959
N2rrc *Lengthd^2	0.95669428477421
D2s *Lengthd^2	0.956414849217251
Lengthd *Kulczynski2	0.955688710460544
KL-Cond *EMD	0.955518652452154
Squared-Chord *EMD	0.955238561305189
RRE-k-r *EMD	0.954467004718684
Kulczynski1 *Lengthd^2	0.954220784504348
D2-star *EMD^2	0.953486468721943
Chi-Squared *EMD	0.951503300497672
Intersection *Lengthd^2	0.950330901868999
K-Div *EMD^2	0.948837868858576
Jefferey-Div *EMD^2	0.948370526689119
Intersection *EMD	0.947821671525635
Normalized-Vectors	0.947670554466621
Normalized-Vectors *AFd	0.947212650600428
Intersection	0.946998104259613
Normalized-Vectors *AFd^2	0.94690024226161
Intersection *AFd	0.946756844271676
Intersection *AFd^2	0.946602778930601
Spearman *EMD^2	0.946576522196987
Jensen-Shannon *EMD^2	0.946151433816933
EMD *Kulczynski1	0.946069850864625
Kulczynski2 *Lengthd^2	0.945113011995056
Similarity-ratio^2	0.944266907351797
Harmonic-Mean *EMD^2	0.94416801996066
AFd *Similarity-ratio^2	0.944146660190426
AFd^2 *Similarity-ratio^2	0.944052943482455
Lengthd *N2rrc^2	0.943151542677411
D2s *EMD^2	0.942720853191488
Lengthd *Similarity-ratio^2	0.942221096675537
D2s	0.941944270842824
D2s *AFd	0.941663836217733
D2s *AFd^2	0.94154022355702
KL-Cond *EMD^2	0.941319139133736
Lengthd *N2r^2	0.941259393540964
EMD *Kulczynski2	0.940880358008085
Lengthd *Canberra	0.940424714690304
Manhattan *Lengthd	0.940179942774294
RRE-k-r *EMD^2	0.939742778564397
Squared-Chord *EMD^2	0.938811559563096
Similarity-ratio *N2rrc	0.938185811739444
N2rc	0.936381433496352
AFd *N2rc	0.935921199980356
Similarity-ratio *N2r	0.935673720782124
N2rc *AFd^2	0.9356311106693
Chi-Squared *EMD^2	0.935072152962384
Manhattan *Lengthd^2	0.933746925869568
Lengthd^2 *N2rrc^2	0.93370651198595
EMD *N2rrc^2	0.933367653574226
Canberra *Lengthd^2	0.933345760864589
Lengthd^2 *N2r^2	0.93281561855541
Spearman	0.931932599785216
EMD *Similarity-ratio^2	0.93188444789314
Kulczynski2	0.931687767851496
AFd *Kulczynski2	0.931471620743034
Pearson-Coeff	0.931455642451385
D2z	0.931455642451373
Spearman *AFd	0.931416041013953
Kulczynski2 *AFd^2	0.931322001029338
Spearman *AFd^2	0.931150557145839
Pearson-Coeff *AFd	0.931133936537854
D2z *AFd	0.93113393653785
Pearson-Coeff *AFd^2	0.930907326058523
D2z *AFd^2	0.930907326058519
Kulczynski1 *EMD^2	0.929418566982491
EMD *N2r^2	0.929214175000995
Lengthd^2 *Similarity-ratio^2	0.92853125468351
Normalized-Vectors *Similarity-ratio	0.928337290171356
Similarity-ratio *N2rc	0.927513565969498
D2-star	0.926863742786924
AFd *D2-star	0.926534280964956
Intersection *EMD^2	0.926480870573047
D2-star *AFd^2	0.926433148009431
SimMM *Similarity-ratio	0.925171724680805
EuclideanZ *Lengthd	0.92515798917243
EMD *Canberra	0.924726445704809
Pearson-Coeff *Similarity-ratio	0.923676752981624
D2z *Similarity-ratio	0.92367675298162
Manhattan *EMD	0.923557373322849
N2rrc	0.92328393631579
AFd *N2rrc	0.922461969039319
N2rrc *AFd^2	0.921959532540779
SimMM *N2rrc	0.921602773778752
Markov *Lengthd^2	0.921263753996356
Kulczynski2 *EMD^2	0.921174226578692
Lengthd *Normalized-Vectors^2	0.920420582298884
Lengthd *N2rc^2	0.919671519755619
Euclidean *Lengthd	0.919664199211666
N2r	0.919218675988209
SimMM *N2r	0.918685172603308
Squared-Chord	0.918652937881556
AFd *N2r	0.91830679420988
Squared-Chord *AFd	0.918085414986006
Squared-Chord *AFd^2	0.917776870787002
N2r *AFd^2	0.917718343613696
N2rrc^2	0.917688700920559
EMD^2 *N2rrc^2	0.917608478117589
AFd *N2rrc^2	0.917570667887373
AFd^2 *N2rrc^2	0.91747117586646
Normalized-Vectors *N2rrc	0.917109202029494
Similarity-ratio *D2-star	0.916206542797136
Lengthd *D2z^2	0.915278908180597
Lengthd *Pearson-Coeff^2	0.915278908180596
EuclideanZ *Lengthd^2	0.91519235266494
N2r *N2rrc	0.914998835313536
N2rc *N2rrc	0.914819775366328
EMD^2 *N2r^2	0.913928503739454
Jefferey-Div *Similarity-ratio	0.913874902753426
K-Div *Similarity-ratio	0.913852038267058
N2r *N2rc	0.913190447117952
Normalized-Vectors *N2r	0.91312362569273
EuclideanZ *EMD	0.912753827051136
Chi-Squared	0.912690218454396
Jaccard *Lengthd	0.91258209155719
Lengthd *Mismatch	0.91258209155719
Euclidean *Lengthd^2	0.912343374683346
Chi-Squared *AFd	0.912197110591107
Chi-Squared *AFd^2	0.911918014508791
D2z *N2rrc	0.911524384151226
Pearson-Coeff *N2rrc	0.911524384151226
Similarity-ratio *Jensen-Shannon	0.911024454805132
Normalized-Vectors^2 *Lengthd^2	0.910626137933663
Spearman *Similarity-ratio	0.910331934715505
Normalized-Vectors *N2rc	0.910154389865524
SimMM *N2rc	0.910056423195266
Lengthd^2 *N2rc^2	0.909877863816865
N2r^2	0.909818405931171
AFd *N2r^2	0.909699885199765
EMD *N2rc^2	0.909636636719597
AFd^2 *N2r^2	0.909590393473051
Normalized-Vectors^2	0.909527821070124
AFd *Normalized-Vectors^2	0.909454029827604
Normalized-Vectors^2 *AFd^2	0.909380872626049
Normalized-Vectors *SimMM	0.909282641610513
D2s *Similarity-ratio	0.908932891571404
EMD^2 *Similarity-ratio^2	0.908820913137132
EMD *Normalized-Vectors^2	0.908675175600465
Harmonic-Mean *Similarity-ratio	0.908593020606844
Canberra *EMD^2	0.908549415139076
Manhattan *EMD^2	0.908451416228864
Pearson-Coeff *N2r	0.908028141157345
D2z *N2r	0.908028141157341
Kulczynski1	0.907943469591503
N2rc^2	0.907853713221489
AFd *N2rc^2	0.907772371173569
AFd^2 *N2rc^2	0.907699819062446
AFd *Kulczynski1	0.907554888638522
Jaccard *Lengthd^2	0.907419825344223
Mismatch *Lengthd^2	0.907419825344223
Kulczynski1 *AFd^2	0.907331977431642
D2z^2 *Lengthd^2	0.906342877298884
Pearson-Coeff^2 *Lengthd^2	0.906342877298879
D2-star *N2rrc	0.906338167496153
D2z *SimMM	0.90632184018817
Pearson-Coeff *SimMM	0.90632184018817
Harmonic-Mean	0.905978436762644
Normalized-Vectors *D2z	0.905871930810638
Normalized-Vectors *Pearson-Coeff	0.905871930810632
D2z *N2rc	0.90580803328728
Pearson-Coeff *N2rc	0.905808033287279
Jensen-Shannon	0.905626757098073
Harmonic-Mean *AFd	0.905450977275505
Hellinger *Lengthd	0.905437015984108
Harmonic-Mean *AFd^2	0.905122793625217
AFd *Jensen-Shannon	0.905045526279545
Jefferey-Div	0.905018596089775
Squared-Chord *Similarity-ratio	0.904782075890846
EMD *D2z^2	0.904734313953113
EMD *Pearson-Coeff^2	0.904734313953112
Jensen-Shannon *AFd^2	0.904685929518964
Jefferey-Div *AFd	0.904369076335227
D2s *N2rrc	0.904105059744004
Jefferey-Div *AFd^2	0.903968780971981
K-Div	0.903802500257214
D2-star *N2r	0.903422323558359
Lengthd *SimMM^2	0.903312733846908
SimMM^2	0.903017998914646
K-Div *AFd	0.903009523822708
Euclidean *EMD	0.902986543542805
AFd *SimMM^2	0.902946776925952
SimMM^2 *AFd^2	0.90288780197691
K-Div *AFd^2	0.902552295271022
D2z^2	0.902085010757038
Pearson-Coeff *D2z	0.902085010757033
Pearson-Coeff^2	0.902085010757024
AFd *Pearson-Coeff^2	0.902026973230568
AFd *D2z^2	0.902026973230559
D2z^2 *AFd^2	0.901968464818737
Pearson-Coeff^2 *AFd^2	0.901968464818736
D2s *N2r	0.901282416970277
Spearman *N2rrc	0.901154328611791
KL-Cond *Similarity-ratio	0.900641117914225
Normalized-Vectors *D2-star	0.900120332352289
D2-star *N2rc	0.89975306778495
Chi-Squared *Similarity-ratio	0.899726407751152
SimMM *D2-star	0.899551709081289
RRE-k-r *Similarity-ratio	0.899367886935579
Jefferey-Div *N2rrc	0.899275508281159
K-Div *N2rrc	0.898746530611085
Jensen-Shannon *N2rrc	0.8974040582779
Lengthd *Jefferey-Div^2	0.897402806051435
EMD *Jaccard	0.897291298500669
EMD *Mismatch	0.897291298500669
Spearman *N2r	0.897256664637379
Lengthd *K-Div^2	0.897208489731454
Lengthd *D2-star^2	0.897061017804879
Pearson-Coeff *D2-star	0.89664211763312
D2z *D2-star	0.896642117633112
Harmonic-Mean *N2rrc	0.895774970399399
Jefferey-Div *N2rc	0.895636361608857
D2s *N2rc	0.895538933093187
KL-Cond	0.895516572685112
Jefferey-Div *SimMM	0.89542471935439
K-Div *SimMM	0.895406979308827
K-Div *N2rc	0.895348409367658
RRE-k-r	0.895314125403006
KL-Cond *AFd	0.895031121349896
Hellinger *Lengthd^2	0.895028518490997
Normalized-Vectors *D2s	0.894960838526566
Squared-Chord *N2rrc	0.89495284337188
RRE-k-r *AFd	0.894842885479528
KL-Cond *AFd^2	0.894796964062326
RRE-k-r *AFd^2	0.894617193339105
Spearman *N2rc	0.894196733837585
EuclideanZ	0.893676573480186
EuclideanZ *AFd	0.893582324194097
Jefferey-Div *N2r	0.893535037830461
EuclideanZ *AFd^2	0.893506949845566
Jensen-Shannon *N2rc	0.893408090887484
EuclideanZ *EMD^2	0.893389640067777
Normalized-Vectors *Jefferey-Div	0.893282804222657
Normalized-Vectors *Spearman	0.893132140663237
EMD^2 *N2rc^2	0.892992913920683
