Statistics	Correct_Neighbors
Manhattan	5
Euclidean	5
Normalized-Vectors	5
Pearson-Coeff	5
Intersection	5
EuclideanZ	5
Jaccard	5
Lengthd	5
Mismatch	5
Kulczynski2	5
Similarity-ratio	5
Manhattan^2	5
Euclidean^2	5
Normalized-Vectors^2	5
Pearson-Coeff^2	5
Intersection^2	5
EuclideanZ^2	5
Jaccard^2	5
Lengthd^2	5
Mismatch^2	5
Kulczynski2^2	5
Similarity-ratio^2	5
Manhattan *Euclidean	5
Manhattan *Normalized-Vectors	5
Manhattan *Pearson-Coeff	5
Manhattan *Intersection	5
Manhattan *EuclideanZ	5
Manhattan *EMD	5
Manhattan *Jaccard	5
Manhattan *Lengthd	5
Manhattan *D2s	5
Manhattan *Mismatch	5
Manhattan *Kulczynski2	5
Manhattan *Similarity-ratio	5
Manhattan *Manhattan^2	5
Manhattan *Euclidean^2	5
Manhattan *Normalized-Vectors^2	5
Manhattan *Pearson-Coeff^2	5
Manhattan *Intersection^2	5
Manhattan *EuclideanZ^2	5
Manhattan *EMD^2	5
Manhattan *Jaccard^2	5
Manhattan *Lengthd^2	5
Manhattan *D2s^2	5
Manhattan *Mismatch^2	5
Manhattan *Kulczynski2^2	5
Manhattan *Similarity-ratio^2	5
Euclidean *Normalized-Vectors	5
Euclidean *Pearson-Coeff	5
Euclidean *Intersection	5
Euclidean *EuclideanZ	5
Euclidean *EMD	5
Euclidean *Jaccard	5
Euclidean *Lengthd	5
Euclidean *D2s	5
Euclidean *Mismatch	5
Euclidean *Kulczynski2	5
Euclidean *Similarity-ratio	5
Euclidean *Manhattan^2	5
Euclidean *Euclidean^2	5
Euclidean *Normalized-Vectors^2	5
Euclidean *Pearson-Coeff^2	5
Euclidean *Intersection^2	5
Euclidean *EuclideanZ^2	5
Euclidean *EMD^2	5
Euclidean *Jaccard^2	5
Euclidean *Lengthd^2	5
Euclidean *D2s^2	5
Euclidean *Mismatch^2	5
Euclidean *Kulczynski2^2	5
Euclidean *Similarity-ratio^2	5
Normalized-Vectors *Pearson-Coeff	5
Normalized-Vectors *Intersection	5
Normalized-Vectors *EuclideanZ	5
Normalized-Vectors *EMD	5
Normalized-Vectors *Jaccard	5
Normalized-Vectors *Lengthd	5
Normalized-Vectors *D2s	5
Normalized-Vectors *Mismatch	5
Normalized-Vectors *Kulczynski2	5
Normalized-Vectors *Similarity-ratio	5
Normalized-Vectors *Manhattan^2	5
Normalized-Vectors *Euclidean^2	5
Normalized-Vectors *Normalized-Vectors^2	5
Normalized-Vectors *Pearson-Coeff^2	5
Normalized-Vectors *Intersection^2	5
Normalized-Vectors *EuclideanZ^2	5
Normalized-Vectors *EMD^2	5
Normalized-Vectors *Jaccard^2	5
Normalized-Vectors *Lengthd^2	5
Normalized-Vectors *D2s^2	5
Normalized-Vectors *Mismatch^2	5
Normalized-Vectors *Kulczynski2^2	5
Normalized-Vectors *Similarity-ratio^2	5
Pearson-Coeff *Intersection	5
Pearson-Coeff *EuclideanZ	5
Pearson-Coeff *EMD	5
Pearson-Coeff *Jaccard	5
Pearson-Coeff *Lengthd	5
Pearson-Coeff *D2s	5
Pearson-Coeff *Mismatch	5
Pearson-Coeff *Kulczynski2	5
Pearson-Coeff *Similarity-ratio	5
Pearson-Coeff *Manhattan^2	5
Pearson-Coeff *Euclidean^2	5
Pearson-Coeff *Normalized-Vectors^2	5
Pearson-Coeff *Pearson-Coeff^2	5
Pearson-Coeff *Intersection^2	5
Pearson-Coeff *EuclideanZ^2	5
Pearson-Coeff *EMD^2	5
Pearson-Coeff *Jaccard^2	5
Pearson-Coeff *Lengthd^2	5
Pearson-Coeff *D2s^2	5
Pearson-Coeff *Mismatch^2	5
Pearson-Coeff *Kulczynski2^2	5
Pearson-Coeff *Similarity-ratio^2	5
Intersection *EuclideanZ	5
Intersection *EMD	5
Intersection *Jaccard	5
Intersection *Lengthd	5
Intersection *D2s	5
Intersection *Mismatch	5
Intersection *Kulczynski2	5
Intersection *Similarity-ratio	5
Intersection *Manhattan^2	5
Intersection *Euclidean^2	5
Intersection *Normalized-Vectors^2	5
Intersection *Pearson-Coeff^2	5
Intersection *Intersection^2	5
Intersection *EuclideanZ^2	5
Intersection *EMD^2	5
Intersection *Jaccard^2	5
Intersection *Lengthd^2	5
Intersection *D2s^2	5
Intersection *Mismatch^2	5
Intersection *Kulczynski2^2	5
Intersection *Similarity-ratio^2	5
D2z *D2s	5
D2z *D2s^2	5
EuclideanZ *EMD	5
EuclideanZ *Jaccard	5
EuclideanZ *Lengthd	5
EuclideanZ *D2s	5
EuclideanZ *Mismatch	5
EuclideanZ *Kulczynski2	5
EuclideanZ *Similarity-ratio	5
EuclideanZ *N2rc	5
EuclideanZ *Manhattan^2	5
EuclideanZ *Euclidean^2	5
EuclideanZ *Normalized-Vectors^2	5
EuclideanZ *Pearson-Coeff^2	5
EuclideanZ *Intersection^2	5
EuclideanZ *EuclideanZ^2	5
EuclideanZ *EMD^2	5
EuclideanZ *Jaccard^2	5
EuclideanZ *Lengthd^2	5
EuclideanZ *D2s^2	5
EuclideanZ *Mismatch^2	5
EuclideanZ *Kulczynski2^2	5
EuclideanZ *Similarity-ratio^2	5
EMD *Jaccard	5
EMD *D2s	5
EMD *Mismatch	5
EMD *Kulczynski2	5
EMD *Similarity-ratio	5
EMD *Manhattan^2	5
EMD *Euclidean^2	5
EMD *Normalized-Vectors^2	5
EMD *Pearson-Coeff^2	5
EMD *Intersection^2	5
EMD *EuclideanZ^2	5
EMD *Jaccard^2	5
EMD *D2s^2	5
EMD *Mismatch^2	5
EMD *Kulczynski2^2	5
EMD *Similarity-ratio^2	5
Jaccard *Lengthd	5
Jaccard *D2s	5
Jaccard *Mismatch	5
Jaccard *Kulczynski2	5
Jaccard *Similarity-ratio	5
Jaccard *Manhattan^2	5
Jaccard *Euclidean^2	5
Jaccard *Normalized-Vectors^2	5
Jaccard *Pearson-Coeff^2	5
Jaccard *Intersection^2	5
Jaccard *EuclideanZ^2	5
Jaccard *EMD^2	5
Jaccard *Jaccard^2	5
Jaccard *Lengthd^2	5
Jaccard *D2s^2	5
Jaccard *Mismatch^2	5
Jaccard *Kulczynski2^2	5
Jaccard *Similarity-ratio^2	5
Lengthd *D2s	5
Lengthd *Mismatch	5
Lengthd *Kulczynski2	5
Lengthd *Similarity-ratio	5
Lengthd *Manhattan^2	5
Lengthd *Euclidean^2	5
Lengthd *Normalized-Vectors^2	5
Lengthd *Pearson-Coeff^2	5
Lengthd *Intersection^2	5
Lengthd *EuclideanZ^2	5
Lengthd *Jaccard^2	5
Lengthd *Lengthd^2	5
Lengthd *D2s^2	5
Lengthd *Mismatch^2	5
Lengthd *Kulczynski2^2	5
Lengthd *Similarity-ratio^2	5
D2s *Mismatch	5
D2s *Kulczynski2	5
D2s *Similarity-ratio	5
D2s *N2rc	5
D2s *Manhattan^2	5
D2s *Euclidean^2	5
D2s *Normalized-Vectors^2	5
D2s *Pearson-Coeff^2	5
D2s *Intersection^2	5
D2s *D2z^2	5
D2s *EuclideanZ^2	5
D2s *EMD^2	5
D2s *Jaccard^2	5
D2s *Lengthd^2	5
D2s *Mismatch^2	5
D2s *Kulczynski2^2	5
D2s *Similarity-ratio^2	5
D2s *N2rc^2	5
Mismatch *Kulczynski2	5
Mismatch *Similarity-ratio	5
Mismatch *Manhattan^2	5
Mismatch *Euclidean^2	5
Mismatch *Normalized-Vectors^2	5
Mismatch *Pearson-Coeff^2	5
Mismatch *Intersection^2	5
Mismatch *EuclideanZ^2	5
Mismatch *EMD^2	5
Mismatch *Jaccard^2	5
Mismatch *Lengthd^2	5
Mismatch *D2s^2	5
Mismatch *Mismatch^2	5
Mismatch *Kulczynski2^2	5
Mismatch *Similarity-ratio^2	5
Kulczynski2 *Similarity-ratio	5
Kulczynski2 *Manhattan^2	5
Kulczynski2 *Euclidean^2	5
Kulczynski2 *Normalized-Vectors^2	5
Kulczynski2 *Pearson-Coeff^2	5
Kulczynski2 *Intersection^2	5
Kulczynski2 *EuclideanZ^2	5
Kulczynski2 *EMD^2	5
Kulczynski2 *Jaccard^2	5
Kulczynski2 *Lengthd^2	5
Kulczynski2 *D2s^2	5
Kulczynski2 *Mismatch^2	5
Kulczynski2 *Kulczynski2^2	5
Kulczynski2 *Similarity-ratio^2	5
Similarity-ratio *N2rc	5
Similarity-ratio *Manhattan^2	5
Similarity-ratio *Euclidean^2	5
Similarity-ratio *Normalized-Vectors^2	5
Similarity-ratio *Pearson-Coeff^2	5
Similarity-ratio *Intersection^2	5
Similarity-ratio *EuclideanZ^2	5
Similarity-ratio *EMD^2	5
Similarity-ratio *Jaccard^2	5
Similarity-ratio *Lengthd^2	5
Similarity-ratio *D2s^2	5
Similarity-ratio *Mismatch^2	5
Similarity-ratio *Kulczynski2^2	5
Similarity-ratio *Similarity-ratio^2	5
N2rc *EuclideanZ^2	5
N2rc *D2s^2	5
N2rc *Similarity-ratio^2	5
Manhattan^2 *Euclidean^2	5
Manhattan^2 *Normalized-Vectors^2	5
Manhattan^2 *Pearson-Coeff^2	5
Manhattan^2 *Intersection^2	5
Manhattan^2 *EuclideanZ^2	5
Manhattan^2 *EMD^2	5
Manhattan^2 *Jaccard^2	5
Manhattan^2 *Lengthd^2	5
Manhattan^2 *D2s^2	5
Manhattan^2 *Mismatch^2	5
Manhattan^2 *Kulczynski2^2	5
Manhattan^2 *Similarity-ratio^2	5
Euclidean^2 *Normalized-Vectors^2	5
Euclidean^2 *Pearson-Coeff^2	5
Euclidean^2 *Intersection^2	5
Euclidean^2 *EuclideanZ^2	5
Euclidean^2 *EMD^2	5
Euclidean^2 *Jaccard^2	5
Euclidean^2 *Lengthd^2	5
Euclidean^2 *D2s^2	5
Euclidean^2 *Mismatch^2	5
Euclidean^2 *Kulczynski2^2	5
Euclidean^2 *Similarity-ratio^2	5
Normalized-Vectors^2 *Pearson-Coeff^2	5
Normalized-Vectors^2 *Intersection^2	5
Normalized-Vectors^2 *EuclideanZ^2	5
Normalized-Vectors^2 *EMD^2	5
Normalized-Vectors^2 *Jaccard^2	5
Normalized-Vectors^2 *Lengthd^2	5
Normalized-Vectors^2 *D2s^2	5
Normalized-Vectors^2 *Mismatch^2	5
Normalized-Vectors^2 *Kulczynski2^2	5
Normalized-Vectors^2 *Similarity-ratio^2	5
Pearson-Coeff^2 *Intersection^2	5
Pearson-Coeff^2 *EuclideanZ^2	5
Pearson-Coeff^2 *EMD^2	5
Pearson-Coeff^2 *Jaccard^2	5
Pearson-Coeff^2 *Lengthd^2	5
Pearson-Coeff^2 *D2s^2	5
Pearson-Coeff^2 *Mismatch^2	5
Pearson-Coeff^2 *Kulczynski2^2	5
Pearson-Coeff^2 *Similarity-ratio^2	5
Intersection^2 *EuclideanZ^2	5
Intersection^2 *EMD^2	5
Intersection^2 *Jaccard^2	5
Intersection^2 *Lengthd^2	5
Intersection^2 *D2s^2	5
Intersection^2 *Mismatch^2	5
Intersection^2 *Kulczynski2^2	5
Intersection^2 *Similarity-ratio^2	5
D2z^2 *D2s^2	5
EuclideanZ^2 *EMD^2	5
EuclideanZ^2 *Jaccard^2	5
EuclideanZ^2 *Lengthd^2	5
EuclideanZ^2 *D2s^2	5
EuclideanZ^2 *Mismatch^2	5
EuclideanZ^2 *Kulczynski2^2	5
EuclideanZ^2 *Similarity-ratio^2	5
EuclideanZ^2 *N2rc^2	5
EMD^2 *Jaccard^2	5
EMD^2 *D2s^2	5
EMD^2 *Mismatch^2	5
EMD^2 *Kulczynski2^2	5
EMD^2 *Similarity-ratio^2	5
Jaccard^2 *Lengthd^2	5
Jaccard^2 *D2s^2	5
Jaccard^2 *Mismatch^2	5
Jaccard^2 *Kulczynski2^2	5
Jaccard^2 *Similarity-ratio^2	5
Lengthd^2 *D2s^2	5
Lengthd^2 *Mismatch^2	5
Lengthd^2 *Kulczynski2^2	5
Lengthd^2 *Similarity-ratio^2	5
D2s^2 *Mismatch^2	5
D2s^2 *Kulczynski2^2	5
D2s^2 *Similarity-ratio^2	5
D2s^2 *N2rc^2	5
Mismatch^2 *Kulczynski2^2	5
Mismatch^2 *Similarity-ratio^2	5
Kulczynski2^2 *Similarity-ratio^2	5
Similarity-ratio^2 *N2rc^2	5
Chi-Squared	4
Harmonic-Mean	4
Jefferey-Div	4
K-Div	4
KL-Cond	4
SimMM	4
D2s	4
Canberra	4
Kulczynski1	4
Jensen-Shannon	4
N2r	4
N2rc	4
N2rrc	4
Chi-Squared^2	4
Harmonic-Mean^2	4
Jefferey-Div^2	4
K-Div^2	4
KL-Cond^2	4
SimMM^2	4
D2s^2	4
Canberra^2	4
Kulczynski1^2	4
Jensen-Shannon^2	4
N2r^2	4
N2rc^2	4
N2rrc^2	4
Hellinger *Manhattan	4
Hellinger *Euclidean	4
Hellinger *Normalized-Vectors	4
Hellinger *Pearson-Coeff	4
Hellinger *Markov	4
Hellinger *Intersection	4
Hellinger *EuclideanZ	4
Hellinger *EMD	4
Hellinger *Jaccard	4
Hellinger *Lengthd	4
Hellinger *Mismatch	4
Hellinger *Kulczynski2	4
Hellinger *Similarity-ratio	4
Hellinger *N2r	4
Hellinger *N2rc	4
Hellinger *N2rrc	4
Hellinger *Manhattan^2	4
Hellinger *Euclidean^2	4
Hellinger *Normalized-Vectors^2	4
Hellinger *Harmonic-Mean^2	4
Hellinger *Jefferey-Div^2	4
Hellinger *K-Div^2	4
Hellinger *Pearson-Coeff^2	4
Hellinger *Markov^2	4
Hellinger *Intersection^2	4
Hellinger *EuclideanZ^2	4
Hellinger *EMD^2	4
Hellinger *Jaccard^2	4
Hellinger *Lengthd^2	4
Hellinger *Mismatch^2	4
Hellinger *Canberra^2	4
Hellinger *Kulczynski2^2	4
Hellinger *Similarity-ratio^2	4
Hellinger *Jensen-Shannon^2	4
Hellinger *N2r^2	4
Hellinger *N2rc^2	4
Hellinger *N2rrc^2	4
Manhattan *Chi-Squared	4
