Statistics	Correct_Neighbors
Normalized-Vectors	8
Harmonic-Mean	8
Jefferey-Div	8
Pearson-Coeff	8
KL-Cond	8
D2z	8
SimMM	8
EuclideanZ	8
Jensen-Shannon	8
Normalized-Vectors^2	8
Harmonic-Mean^2	8
Jefferey-Div^2	8
Pearson-Coeff^2	8
KL-Cond^2	8
D2z^2	8
SimMM^2	8
EuclideanZ^2	8
Jensen-Shannon^2	8
Hellinger *Pearson-Coeff	8
Hellinger *D2z	8
Hellinger *EuclideanZ	8
Hellinger *D2s	8
Hellinger *D2-star	8
Hellinger *Normalized-Vectors^2	8
Hellinger *Pearson-Coeff^2	8
Hellinger *D2z^2	8
Hellinger *EuclideanZ^2	8
Hellinger *D2s^2	8
Hellinger *Kulczynski2^2	8
Hellinger *N2r^2	8
Manhattan *D2s	8
Manhattan *D2-star	8
Manhattan *EuclideanZ^2	8
Manhattan *D2s^2	8
Manhattan *D2-star^2	8
Euclidean *D2s	8
Euclidean *D2-star	8
Euclidean *EuclideanZ^2	8
Euclidean *D2s^2	8
Euclidean *D2-star^2	8
Chi-Squared *EuclideanZ	8
Chi-Squared *D2s	8
Chi-Squared *Pearson-Coeff^2	8
Chi-Squared *D2z^2	8
Chi-Squared *EuclideanZ^2	8
Chi-Squared *D2s^2	8
Normalized-Vectors *Harmonic-Mean	8
Normalized-Vectors *Jefferey-Div	8
Normalized-Vectors *K-Div	8
Normalized-Vectors *Pearson-Coeff	8
Normalized-Vectors *KL-Cond	8
Normalized-Vectors *D2z	8
Normalized-Vectors *SimMM	8
Normalized-Vectors *EuclideanZ	8
Normalized-Vectors *Spearman	8
Normalized-Vectors *D2s	8
Normalized-Vectors *AFd	8
Normalized-Vectors *Kulczynski2	8
Normalized-Vectors *Similarity-ratio	8
Normalized-Vectors *Jensen-Shannon	8
Normalized-Vectors *D2-star	8
Normalized-Vectors *N2r	8
Normalized-Vectors *N2rc	8
Normalized-Vectors *Normalized-Vectors^2	8
Normalized-Vectors *Harmonic-Mean^2	8
Normalized-Vectors *Jefferey-Div^2	8
Normalized-Vectors *K-Div^2	8
Normalized-Vectors *Pearson-Coeff^2	8
Normalized-Vectors *KL-Cond^2	8
Normalized-Vectors *D2z^2	8
Normalized-Vectors *SimMM^2	8
Normalized-Vectors *EuclideanZ^2	8
Normalized-Vectors *Spearman^2	8
Normalized-Vectors *D2s^2	8
Normalized-Vectors *AFd^2	8
Normalized-Vectors *Similarity-ratio^2	8
Normalized-Vectors *Jensen-Shannon^2	8
Normalized-Vectors *D2-star^2	8
Harmonic-Mean *Jefferey-Div	8
Harmonic-Mean *K-Div	8
Harmonic-Mean *Pearson-Coeff	8
Harmonic-Mean *KL-Cond	8
Harmonic-Mean *D2z	8
Harmonic-Mean *SimMM	8
Harmonic-Mean *EuclideanZ	8
Harmonic-Mean *Spearman	8
Harmonic-Mean *D2s	8
Harmonic-Mean *AFd	8
Harmonic-Mean *Kulczynski2	8
Harmonic-Mean *Similarity-ratio	8
Harmonic-Mean *Jensen-Shannon	8
Harmonic-Mean *D2-star	8
Harmonic-Mean *N2r	8
Harmonic-Mean *Normalized-Vectors^2	8
Harmonic-Mean *Harmonic-Mean^2	8
Harmonic-Mean *Jefferey-Div^2	8
Harmonic-Mean *K-Div^2	8
Harmonic-Mean *Pearson-Coeff^2	8
Harmonic-Mean *KL-Cond^2	8
Harmonic-Mean *D2z^2	8
Harmonic-Mean *SimMM^2	8
Harmonic-Mean *EuclideanZ^2	8
Harmonic-Mean *Spearman^2	8
Harmonic-Mean *D2s^2	8
Harmonic-Mean *AFd^2	8
Harmonic-Mean *Kulczynski2^2	8
Harmonic-Mean *Similarity-ratio^2	8
Harmonic-Mean *Jensen-Shannon^2	8
Harmonic-Mean *D2-star^2	8
Jefferey-Div *K-Div	8
Jefferey-Div *Pearson-Coeff	8
