Statistics	R_squared_coefficient
Manhattan *Lengthd	0.992915760032588
Lengthd *Kulczynski2	0.991865570227993
Lengthd *K-Div^2	0.991426590558334
Intersection *Lengthd	0.991391305615988
Lengthd *Jefferey-Div^2	0.991127459755051
K-Div^2 *EMD^2	0.991127209145683
Jefferey-Div^2 *EMD^2	0.991009172290435
EMD^2 *Jensen-Shannon^2	0.990896223872152
Lengthd *Jensen-Shannon^2	0.99083285621952
Lengthd *Canberra	0.990792825506116
Harmonic-Mean^2 *EMD^2	0.990753066326046
Lengthd *Harmonic-Mean^2	0.990554851717759
Manhattan *EMD^2	0.990383931599936
Chi-Squared^2 *Lengthd^2	0.990065510175882
Normalized-Vectors^2 *EMD^2	0.990019980474681
KL-Cond^2 *EMD^2	0.989975220481652
Kulczynski2 *EMD^2	0.989939522326226
SimMM^2 *EMD^2	0.989847003926592
Harmonic-Mean^2 *Lengthd^2	0.989683536364851
Intersection *EMD^2	0.989497677967417
Chi-Squared^2 *EMD^2	0.989494734511333
Lengthd^2 *Jensen-Shannon^2	0.989423908271888
KL-Cond^2 *Lengthd^2	0.989390021445155
Jaccard *Lengthd	0.98923922177843
Lengthd *Mismatch	0.98923922177843
KL-Cond *Lengthd	0.989226413220362
Lengthd *Kulczynski1	0.989209557000713
Lengthd *Chi-Squared^2	0.989202222646392
Lengthd^2 *Kulczynski1^2	0.989187439799346
Intersection *EMD	0.989173032734817
Lengthd *KL-Cond^2	0.98904764975433
K-Div^2 *Lengthd^2	0.989034100454426
Jefferey-Div^2 *Lengthd^2	0.98899528445442
Squared-Chord^2 *Lengthd^2	0.988939087937035
Squared-Chord^2 *EMD^2	0.988783880232319
Lengthd *SimMM^2	0.988772515912637
RRE-k-r^2 *EMD^2	0.988687036299451
Lengthd *Squared-Chord^2	0.988386301966344
RRE-k-r *Lengthd	0.988366478938967
Lengthd *Normalized-Vectors^2	0.988354498879171
EMD^2 *Kulczynski1^2	0.988264225505732
EMD *Kulczynski2	0.988054475260256
EMD^2 *Spearman^2	0.988037796213447
Jaccard *EMD^2	0.988017154051341
Mismatch *EMD^2	0.988017154051341
Lengthd *Kulczynski1^2	0.987990429286268
Canberra *EMD^2	0.987834007657194
Lengthd *RRE-k-r^2	0.987745186169982
RRE-k-r^2 *Lengthd^2	0.987685733376669
Harmonic-Mean *Lengthd	0.987214449995134
Chi-Squared *Lengthd	0.987069875067514
Lengthd *Spearman^2	0.986852361402547
D2z^2 *EMD^2	0.986808221243278
Pearson-Coeff^2 *EMD^2	0.986808221243278
Manhattan *EMD	0.986698938011944
Lengthd^2 *Canberra^2	0.98636546846006
SimMM *EMD	0.986294836503797
Lengthd *Jensen-Shannon	0.986222808851204
Spearman^2 *Lengthd^2	0.985933947778072
KL-Cond *EMD	0.98591414080145
RRE-k-r *EMD	0.985776653012744
Normalized-Vectors *EMD	0.985722602738443
KL-Cond *EMD^2	0.985522963215307
RRE-k-r *EMD^2	0.984999701439963
K-Div *Lengthd	0.984948604595657
Jefferey-Div *Lengthd	0.984893211542653
Kulczynski1 *EMD^2	0.984646256306136
Harmonic-Mean *EMD	0.984501774031886
EMD *Normalized-Vectors^2	0.984407534343483
Jaccard *Lengthd^2	0.984338662415799
Mismatch *Lengthd^2	0.984338662415799
Intersection^2 *EMD^2	0.984264526003693
EMD *Jensen-Shannon	0.984253034092033
EMD^2 *Canberra^2	0.984240059783464
EMD *SimMM^2	0.984226173876899
K-Div *EMD	0.984157632430249
EMD *K-Div^2	0.984129281197021
SimMM^2 *Lengthd^2	0.984088240952513
Jefferey-Div *EMD	0.983942565905087
Lengthd *Canberra^2	0.98388246211632
Lengthd *Intersection^2	0.983798672813986
Intersection^2 *Lengthd^2	0.983628376896367
EMD *Jefferey-Div^2	0.983521374032723
Manhattan^2 *Lengthd^2	0.9834712844308
Lengthd^2 *Kulczynski2^2	0.983453780409387
EMD *Jensen-Shannon^2	0.98328839900195
EMD^2 *Kulczynski2^2	0.983231776247546
EMD *Canberra	0.983192006859086
Lengthd *Pearson-Coeff^2	0.983088765830926
Lengthd *D2z^2	0.983088765830926
EMD *Kulczynski1	0.983079255633918
EMD *Harmonic-Mean^2	0.983077205924043
Squared-Chord *Lengthd	0.982664431616543
Lengthd *Kulczynski2^2	0.982511882011319
EMD *Chi-Squared^2	0.982447516000812
EMD *Jaccard	0.982362477988793
EMD *Mismatch	0.982362477988793
Harmonic-Mean *EMD^2	0.98223692571967
Chi-Squared *EMD^2	0.98202461668675
EMD *KL-Cond^2	0.981934948483614
Manhattan^2 *EMD^2	0.981880193089341
EMD *Squared-Chord^2	0.981707683662424
EMD *Kulczynski1^2	0.981632805028208
EMD^2 *N2r^2	0.981543672084762
Lengthd *Manhattan^2	0.981438809586789
Jensen-Shannon *EMD^2	0.981241554451372
Chi-Squared *EMD	0.981229921009334
EMD *RRE-k-r^2	0.981185327406805
Spearman *Lengthd	0.980985432323151
D2z *EMD	0.980761766259564
Pearson-Coeff *EMD	0.980761766259564
Canberra *Lengthd^2	0.980499142820703
Manhattan *Lengthd^2	0.980486402646844
SimMM *EMD^2	0.980406059238547
EMD *Spearman^2	0.980356804731968
EMD *Spearman	0.980202070958098
Jefferey-Div *EMD^2	0.979980542183084
K-Div *EMD^2	0.979922056716445
EMD *Pearson-Coeff^2	0.979812125514826
EMD *D2z^2	0.979812125514826
SimMM *Lengthd	0.979536913668238
EMD *Intersection^2	0.979315662706108
Normalized-Vectors^2 *Lengthd^2	0.97861720750844
Spearman *EMD^2	0.978582094234028
EMD *Canberra^2	0.977956967371385
Squared-Chord *EMD^2	0.977770118643902
EMD^2 *N2rrc^2	0.977705106846105
Lengthd *N2r^2	0.977582223449778
Squared-Chord *EMD	0.977394046627482
EMD *Kulczynski2^2	0.977330133688332
